N,P,K,soil_ph,temperature,humidity,soil_moisture,crop
101,46,96,4.43,29.11,83.52,58.57,Rice
142,78,49,7.17,30.47,63.72,63.32,Rice
64,38,56,6.8,29.3,60.55,61.28,Rice
121,22,41,9.34,36.52,69.11,56.94,Rice
110,92,70,9.56,32.72,50.87,55.08,Rice
70,58,109,8.28,31.18,78.26,70.45,Rice
132,85,80,8.17,36.27,88.59,52.62,Rice
136,92,109,8.75,38.46,65.01,88.05,Rice
124,75,58,10.8,34.68,64.68,73.65,Rice
124,25,80,13.66,26.72,83.04,58.31,Rice
137,47,88,2.86,39.7,83.06,70.78,Rice
149,67,117,8.99,33.76,69.92,48.78,Rice
73,67,60,12.0,36.17,65.69,74.91,Rice
52,86,38,10.48,38.71,67.37,80.36,Rice
71,73,99,11.7,37.69,73.22,53.84,Rice
102,35,59,1.16,29.3,58.75,87.23,Rice
51,54,119,5.09,35.35,86.45,60.81,Rice
137,94,69,9.35,38.99,74.06,79.83,Rice
79,49,36,12.8,25.89,64.66,77.65,Rice
87,67,101,1.93,31.84,80.06,66.06,Rice
51,88,88,0.0,26.32,59.36,80.85,Rice
113,27,40,5.08,38.45,50.85,88.64,Rice
109,70,32,2.42,25.63,56.2,65.52,Rice
70,29,33,10.18,32.56,85.37,86.33,Rice
82,47,49,0.59,28.47,52.02,55.81,Rice
125,55,34,4.42,35.43,80.43,78.37,Rice
107,79,63,3.75,30.69,54.22,59.36,Rice
71,29,43,6.48,30.32,79.44,87.42,Rice
138,33,42,0.27,26.64,89.12,89.64,Rice
98,82,90,7.73,26.56,71.21,62.66,Rice
140,66,78,6.07,35.85,86.3,63.25,Rice
108,88,74,2.23,34.07,80.4,50.86,Rice
91,75,82,7.79,34.64,57.51,51.94,Rice
141,25,53,10.15,38.9,67.82,50.92,Rice
109,38,92,6.05,32.01,59.92,53.46,Rice
129,71,104,3.17,38.97,60.37,79.1,Rice
64,81,38,4.13,26.22,53.65,77.02,Rice
111,68,92,1.26,34.93,53.33,47.94,Rice
111,97,85,9.62,32.19,82.16,45.12,Rice
96,30,106,3.9,29.29,59.46,75.21,Rice
111,65,106,11.34,31.77,53.98,60.2,Rice
100,88,100,10.97,30.76,59.23,60.45,Rice
104,64,104,1.63,37.0,73.23,47.55,Rice
113,77,71,10.28,36.74,73.42,57.44,Rice
52,51,30,11.45,38.61,85.16,76.63,Rice
100,29,93,3.57,28.74,52.77,78.43,Rice
56,32,101,8.86,29.55,59.33,64.56,Rice
70,32,44,1.5,38.64,65.97,59.68,Rice
122,55,98,5.41,34.99,51.53,72.44,Rice
88,92,51,12.05,27.23,53.31,63.15,Rice
67,38,49,13.14,29.49,51.15,59.2,Rice
53,26,97,5.88,27.49,56.78,62.69,Rice
138,34,74,4.58,28.0,62.19,59.27,Rice
109,65,118,7.94,26.55,54.89,59.35,Rice
63,97,109,6.85,35.29,70.44,67.36,Rice
58,67,69,5.62,34.55,55.15,76.07,Rice
139,85,75,4.67,28.03,87.67,66.24,Rice
102,97,92,10.55,35.39,87.23,59.81,Rice
